Main_Category,Course_Title,Description,Course_Content,Lecturers_name
Development,The Complete JavaScript Course 2024: From Zero to Expert!,"The modern JavaScript course for everyone! Master JavaScript with projects, challenges and theory. Many courses in one!","Become an advanced, confident, and modern JavaScript developer from scratch. Build 6 beautiful real-world projects for your portfolio (not boring toy apps). Become job-ready by understanding how JavaScript really works behind the scenes",Jonas Schmedtmann
Development,JavaScript: Understanding the Weird Parts,"An advanced JavaScript course for everyone! Scope, closures, prototypes, 'this', build your own framework, and more.","Grasp how Javascript works and it's fundamental concepts. Write solid, good Javascript code. Understand advanced concepts such as closures, prototypal inheritance, IIFEs, and much more.",Anthony Alicea
Development,JavaScript Basics for Beginners,JavaScript - Master the Fundamentals in 6 Hours,Understand the fundamental concepts in JavaScript. Learn problem-solving skills. Learn and apply the best practices,Mosh Hamedani
Development,Modern JavaScript From The Beginning 2.0 (2024),A 36-hour master course to take you from beginner to advanced JavaScript,"Learn the Fundamentals (Variables, Loops, Functions, etc). Learn How JavaScript Works (Execution Context, Call Stack, Async JS). Master the Document Object Model & Events (Interactivity)",Brad Traversy
Development,Javascript for Beginners Learn by Doing Practical Exercises,JavaScript for Beginners : Work closely with me doing exercises & learn more. I make Javascript easy for you guaranteed.,Learn to write JavaScript functions. Learn to write Javascript arrays. Learn to write  Javascript loops,Edwin Diaz. Coding Faculty Solutions
Development,ES6 Javascript: The Complete Developer's Guide,ES6 Javascript Development from scratch.  Get practice with live examples and learn exactly where to apply ES6 features.,Learn how to apply each feature of ES6 in practical situations. Understand the major features of ES6. Have total mastery of generators,Stephen Grider
Development,The Modern JavaScript Bootcamp,"Learn JavaScript by building real-world apps. Includes 3 real-world projects, 80 programming challenges, and ES6/ES7!",Learn JavaScript by building three real-world web applications. Gain a deep understanding of how JavaScript works behind the scenes. Explore the latest cutting-edge features from ES6 and ES7,Andrew Mead
Development,The Modern Javascript Bootcamp Course,The most up-to-date JS resource online! Master Javascript by building a beautiful portfolio of projects!,Learn everything there is to know about Javascript - from scratch!. Build beautiful web apps to add to your portfolio. Get job ready with a deep understanding of the internals of JS,Colt Steele. Stephen Grider
Development,"50 Projects In 50 Days - HTML, CSS & JavaScript","Sharpen your skills by building 50+ quick, unique and fun mini projects","Project based teaching to sharpen your HTML, CSS & JavaScript skills. Perfect for beginners looking for things to build unique projects in a short timeframe. Modern styling with flexbox, CSS animations, custom properties, etc",Brad Traversy. Florin Pop
Development,"Modern JavaScript (Complete guide, from Novice to Ninja)",Learn Modern JavaScript from the very start to ninja-level & build awesome JavaScript applications.,"Learn how to program with modern JavaScript, from the very beginning to more advanced topics. Learn all about OOP (object-oriented programming) with JavaScript, working with prototypes & classes. Learn how to create real-world front-end applications with JavaScript (quizes, weather apps, chat rooms etc)",The Net Ninja (Shaun Pelling)
Development,Advanced Javascript,In only seven hours you will learn enough javascript to transform from a Junior JS Dev into a Senior JS Guru,Impress interviewers with knowledge about advanced JavaScript features. Confidently Interview other JavaScript candidates. Pass stage one JavaScript telephone interviews,Asim Hussain
Development,20 Web Projects With Vanilla JavaScript,"Build 20 mini frontend projects from scratch with HTML5, CSS & JavaScript (No frameworks or libraries)","Build 20 Frontend Projects From Scratch. No JS or CSS Frameworks. Modern JavaScript (ES6+) - Arrows, Fetch, Promises, etc",Brad Traversy
Development,JavaScript Beginner Bootcamp (2024),"JavaScript for Beginners: Projects based learning, whiteboard animations, coding in the browser and quizzes.",Learn basics of JavaScript. Create Interactive Webpage and deploy to the web. Build projects as you learn concepts to get a taste of building applications on a small scale,Rob Merrill
Development,Learn JavaScript: Full-Stack from Scratch,"Understand the JavaScript language itself, Node.js, MongoDB, The Web Browser and More To Create Meaningful Applications",The JavaScript language itself. How to control a database (MongoDB) with JavaScript. How to control the Web Browser with JavaScript,Brad Schiff
