Main_Category,Course_Title,Description,Course_Content,Lecturers_name
Development,The Full JavaScript & ES6 Tutorial - (including ES7 & React),"The most in-depth course on ES6 around. Start with JavaScript, deep-dive into ES6, & even more (Webpack, ES7, & React)!","Code in JavaScript like a pro.. Code in es6 comfortably, using all the new features.. Build es6 projects from the ground up using tools like webpack and babel.",David Joseph Katz
Development,Learn JavaScript for Web Development,Advance your Web Development Skills By Learning Javascript from JavaScript Expert!,You will have a great skill set of writing JavaScript programs. . You would be able to apply JavaScript programming skills to build dynamic and interactive web projects.,Irfan Dayan
Development,JavaScript For Beginners - Learn JavaScript From Scratch,Learn The JavaScript Programming Language Completely From Scratch Without Frameworks,JavaScript Variables and Strings. How To Work With Numbers in JavaScript. Conditional Statements,Robin Haney
Development,Javascript for Beginners,Learn javascript online and supercharge your web design with this Javascript for beginners training course.,"Extensive, informative and interesting video lecture. Complete Code demonstrated in lecture. Lab Exercises",SkillSprints Inc.
Development,CSS & JavaScript - Certification Course for Beginners,Learn how to Add Dynamic Client-Side Functions to your Web Pages using CSS & JavaScript,"Parts of a CSS Rule. Types of CSS Rules. CSS Classes, Spans, IDs, Divisions",YouAccel Training
Development,React JS - Mastering Redux,"Build the React JS and Redux apps of your dreams! Learn JavaScript, ES6, APIs, and Full Web App Development in ReactJS!","Build entire ReactJS and Redux applications from scratch.. Develop apps that deal with APIs and web requests.. Understand how to develop Redux apps with actions, reducers, and the Redux store.",David Joseph Katz
Development,React Testing Library and Jest: The Complete Guide,"A complete, all-in-one guide to fully testing your React projects using React Testing Library and Jest.",Everything you need to know about testing React Components using React Testing Library and Jest. Understand how to simulate user events and data fetching in a test environment. Verify your components the way your components work - before deploying them!,Stephen Grider
Development,React - The Complete Guide with React Hook Redux in 4hr,"Learn how to create high performance web app with react. Hooks, Redux, React Routing, useContext, Fireabase and more",Build high performance and user friendly web app. Realize the power of using component in React. Unleash the power of JavaScript with the help of React,Kim Chen
Development,Advanced React For Enterprise: React for senior engineers,"A practical deep dive into building, scaling and maintaining high-quality design systems for software engineers.",Css architecture of frontend codebases. Design patterns for creating reusable react components. Creating maintainable and team effective components with Typescript,Frantz Kati
Development,Meteor and React for Realtime Apps,"Master the fundamentals of Meteor and React with this tutorial as you develop secure, dynamic apps",Create interactive web apps amazingly fast. Build amazing single page applications with Meteor and React JS. Master fundamental concepts behind structuring Meteor applications,Stephen Grider
